"id","round_number","participant_id","theme_selection","article","mid_questionnaire","timestamp"
68,1,7,"{""selected_article_id"": 44, ""selected_article_title"": ""Amazon to invest $233 million in India to expand operations infrastructure, improve tech"", ""selected_article_category"": ""technology"", ""condition"": ""nolabel""}","{""selected_article_id"": 37, ""selected_article_title"": ""Stanford researchers develop \u2018game-changing' stroke treatment that doubles effectiveness"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Topic""], ""trust_article"": ""6"", ""trust_image"": ""6""}","2025-06-24 12:29:03.931512"
69,1,9,"{""selected_article_id"": 61, ""selected_article_title"": ""Netflix Dips Its Toe Into Old-Fashioned TV"", ""selected_article_category"": ""entertainment"", ""condition"": ""no_color""}","{""selected_article_id"": 65, ""selected_article_title"": ""A Messy Business Divorce Plays Out on the Beaches of Cannes"", ""selected_article_had_label"": true, ""label_explained"": false}","{""selected_elements"": [""Image label"", ""Headline""], ""trust_article"": ""4"", ""trust_image"": ""5""}","2025-06-24 12:27:30.610234"
70,2,3,NA,"{""selected_article_id"": 37, ""selected_article_title"": ""Stanford researchers develop \u2018game-changing' stroke treatment that doubles effectiveness"", ""selected_article_had_label"": true, ""label_explained"": false}","{""selected_elements"": [""Headline""], ""trust_article"": ""6"", ""trust_image"": ""6""}","2025-06-24 12:26:30.529431"
71,3,5,NA,"{""selected_article_id"": 59, ""selected_article_title"": ""Bay Area malls drawing customers back with interactive entertainment"", ""selected_article_had_label"": true, ""label_explained"": false}","{""selected_elements"": [""Image label"", ""Topic""], ""trust_article"": ""5"", ""trust_image"": ""6""}","2025-06-24 12:26:36.363187"
72,2,8,NA,"{""selected_article_id"": 9, ""selected_article_title"": ""Donald Trump stunt proves FIFA is happy to play politics when it suits"", ""selected_article_had_label"": true, ""label_explained"": false}","{""selected_elements"": [""Headline""], ""trust_article"": ""5"", ""trust_image"": ""5""}","2025-06-24 12:26:49.179060"
73,3,3,NA,"{""selected_article_id"": 51, ""selected_article_title"": ""Anduril, Rheinmetall partner to build military drones for Europe"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Headline""], ""trust_article"": ""5"", ""trust_image"": ""6""}","2025-06-24 12:27:18.702339"
74,3,8,NA,"{""selected_article_id"": 10, ""selected_article_title"": ""Once known for civility, Minnesota succumbs to spread of political violence"", ""selected_article_had_label"": true, ""label_explained"": false}","{""selected_elements"": [""Picture""], ""trust_article"": ""5"", ""trust_image"": ""5""}","2025-06-24 12:27:47.695255"
75,1,10,"{""selected_article_id"": 35, ""selected_article_title"": ""Israeli airstrikes hit multiple Iran nuclear sites. Here's what we know about them."", ""selected_article_category"": ""technology"", ""condition"": ""c2pa""}","{""selected_article_id"": 37, ""selected_article_title"": ""Stanford researchers develop \u2018game-changing' stroke treatment that doubles effectiveness"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Headline"", ""Topic""], ""trust_article"": ""4"", ""trust_image"": ""6""}","2025-06-24 12:31:56.081197"
76,2,9,NA,"{""selected_article_id"": 54, ""selected_article_title"": ""Fox News Entertainment Newsletter: Brad Pitt talks mistakes, Billy Idol nearly died from drug overdose"", ""selected_article_had_label"": true, ""label_explained"": false}","{""selected_elements"": [""Headline""], ""trust_article"": ""4"", ""trust_image"": ""5""}","2025-06-24 12:29:18.184293"
77,2,7,NA,"{""selected_article_id"": 45, ""selected_article_title"": ""Swedish military joins Telia, Ericsson to boost defense tech"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Don't know/None of these""], ""trust_article"": ""1"", ""trust_image"": ""1""}","2025-06-24 12:30:13.787202"
79,3,9,NA,"{""selected_article_id"": 56, ""selected_article_title"": ""Beating back boredom this summer for both parents and kids"", ""selected_article_had_label"": true, ""label_explained"": false}","{""selected_elements"": [""Headline""], ""trust_article"": ""5"", ""trust_image"": ""5""}","2025-06-24 12:30:21.532478"
81,3,7,NA,"{""selected_article_id"": 50, ""selected_article_title"": ""Apple eyes using AI to design its chips, technology executive says"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Headline""], ""trust_article"": ""5"", ""trust_image"": ""5""}","2025-06-24 12:31:00.364705"
82,1,11,"{""selected_article_id"": 39, ""selected_article_title"": ""Ocado, Bon Preu to build new fulfilment centre in Catalonia"", ""selected_article_category"": ""technology"", ""condition"": ""nolabel""}","{""selected_article_id"": 46, ""selected_article_title"": ""Videos show aftermath of Iranian strikes in Israel"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Picture""], ""trust_article"": ""5"", ""trust_image"": ""4""}","2025-06-24 12:32:07.804867"
83,1,13,"{""selected_article_id"": 57, ""selected_article_title"": ""McDonald's settles Byron Allen's $10 billion lawsuit over ads for Black-owned media"", ""selected_article_category"": ""entertainment"", ""condition"": ""no_color""}","{""selected_article_id"": 58, ""selected_article_title"": ""US toymaker MGA criticised by UK court for 'retaliatory' action against startup"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Headline"", ""Topic""], ""trust_article"": ""5"", ""trust_image"": ""4""}","2025-06-24 12:33:36.341434"
84,1,12,"{""selected_article_id"": 13, ""selected_article_title"": ""Mike Lee, prominent Republicans leap to baseless claims about political violence \u2013 again"", ""selected_article_category"": ""politics"", ""condition"": ""color""}","{""selected_article_id"": 5, ""selected_article_title"": ""What motivated the Minnesota lawmaker shooting suspect is unclear, so are his politics"", ""selected_article_had_label"": true, ""label_explained"": false}","{""selected_elements"": [""Topic""], ""trust_article"": ""4"", ""trust_image"": ""4""}","2025-06-24 12:36:59.829626"
85,2,4,NA,"{""selected_article_id"": 10, ""selected_article_title"": ""Once known for civility, Minnesota succumbs to spread of political violence"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Topic""], ""trust_article"": ""4"", ""trust_image"": ""4""}","2025-06-24 12:32:10.511284"
86,2,2,NA,"{""selected_article_id"": 3, ""selected_article_title"": ""Massachusetts lawmakers condemn political shootings in Minnesota as \""horrific\"""", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Headline"", ""Topic""], ""trust_article"": ""6"", ""trust_image"": ""6""}","2025-06-24 12:32:43.704522"
87,2,10,NA,"{""selected_article_id"": 52, ""selected_article_title"": ""Visual effects veteran Ed Ulbrich joins AI company Moonvalley"", ""selected_article_had_label"": true, ""label_explained"": false}","{""selected_elements"": [""Headline"", ""Topic""], ""trust_article"": ""3"", ""trust_image"": ""4""}","2025-06-24 12:33:23.831981"
88,1,14,"{""selected_article_id"": 46, ""selected_article_title"": ""Videos show aftermath of Iranian strikes in Israel"", ""selected_article_category"": ""technology"", ""condition"": ""c2pa""}","{""selected_article_id"": 44, ""selected_article_title"": ""Amazon to invest $233 million in India to expand operations infrastructure, improve tech"", ""selected_article_had_label"": false, ""label_explained"": true}","{""selected_elements"": [""Headline"", ""Topic""], ""trust_article"": ""4"", ""trust_image"": ""5""}","2025-06-24 12:34:59.303849"
89,2,11,NA,"{""selected_article_id"": 40, ""selected_article_title"": ""China to set up segment on STAR Market to host pre-profit growth companies"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Image label""], ""trust_article"": ""6"", ""trust_image"": ""6""}","2025-06-24 12:33:54.570544"
90,3,2,NA,"{""selected_article_id"": 1, ""selected_article_title"": ""MSNBC anchor asks panel if political violence is a result of the 'will of the people' being ignored or just part of life"", ""selected_article_had_label"": true, ""label_explained"": false}","{""selected_elements"": [""Headline"", ""Topic""], ""trust_article"": ""4"", ""trust_image"": ""5""}","2025-06-24 12:34:03.832402"
91,3,10,NA,"{""selected_article_id"": 41, ""selected_article_title"": ""Honda conducts surprise reusable rocket test, aims spaceflight by 2029"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Headline"", ""Topic""], ""trust_article"": ""4"", ""trust_image"": ""5""}","2025-06-24 12:34:16.236628"
92,2,13,NA,"{""selected_article_id"": 65, ""selected_article_title"": ""A Messy Business Divorce Plays Out on the Beaches of Cannes"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Topic""], ""trust_article"": ""4"", ""trust_image"": ""5""}","2025-06-24 12:34:29.705638"
93,3,4,NA,"{""selected_article_id"": 4, ""selected_article_title"": ""Colorado officials react to assassination of Minnesota lawmaker and her husband"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Topic""], ""trust_article"": ""4"", ""trust_image"": ""4""}","2025-06-24 12:34:58.181251"
94,3,13,NA,"{""selected_article_id"": 61, ""selected_article_title"": ""Netflix Dips Its Toe Into Old-Fashioned TV"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Headline""], ""trust_article"": ""5"", ""trust_image"": ""6""}","2025-06-24 12:34:59.890886"
95,3,11,NA,"{""selected_article_id"": 37, ""selected_article_title"": ""Stanford researchers develop \u2018game-changing' stroke treatment that doubles effectiveness"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Headline""], ""trust_article"": ""7"", ""trust_image"": ""7""}","2025-06-24 12:35:51.484177"
96,2,14,NA,"{""selected_article_id"": 50, ""selected_article_title"": ""Apple eyes using AI to design its chips, technology executive says"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Picture"", ""Headline"", ""Topic""], ""trust_article"": ""6"", ""trust_image"": ""5""}","2025-06-24 12:36:20.948059"
97,1,15,"{""selected_article_id"": 53, ""selected_article_title"": ""Fox News Entertainment Newsletter: Henry Winkler's kind move, 'Little House on the Prairie' alum's confession"", ""selected_article_category"": ""entertainment"", ""condition"": ""nolabel""}","{""selected_article_id"": 56, ""selected_article_title"": ""Beating back boredom this summer for both parents and kids"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Headline""], ""trust_article"": ""4"", ""trust_image"": ""6""}","2025-06-24 12:37:42.787372"
98,3,14,NA,"{""selected_article_id"": 36, ""selected_article_title"": ""Finland backs space tech ICEYE firm with R&D funding"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Headline"", ""Topic""], ""trust_article"": ""5"", ""trust_image"": ""5""}","2025-06-24 12:37:48.949751"
99,1,16,"{""selected_article_id"": 36, ""selected_article_title"": ""Finland backs space tech ICEYE firm with R&D funding"", ""selected_article_category"": ""technology"", ""condition"": ""no_color""}","{""selected_article_id"": 42, ""selected_article_title"": ""Honda-backed Helm.ai unveils vision system for self-driving cars"", ""selected_article_had_label"": false, ""label_explained"": true}","{""selected_elements"": [""Topic""], ""trust_article"": ""2"", ""trust_image"": ""2""}","2025-06-24 12:39:03.102273"
100,1,18,"{""selected_article_id"": 1, ""selected_article_title"": ""MSNBC anchor asks panel if political violence is a result of the 'will of the people' being ignored or just part of life"", ""selected_article_category"": ""politics"", ""condition"": ""nolabel""}","{""selected_article_id"": 7, ""selected_article_title"": ""Taking on Israel's greatest foe has banished Netanyahu's political troubles in an instant"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Topic""], ""trust_article"": ""3"", ""trust_image"": ""4""}","2025-06-24 12:40:27.740437"
101,1,17,"{""selected_article_id"": 11, ""selected_article_title"": ""We Encourage Political Violence When We Look the Other Way"", ""selected_article_category"": ""politics"", ""condition"": ""c2pa""}","{""selected_article_id"": 4, ""selected_article_title"": ""Colorado officials react to assassination of Minnesota lawmaker and her husband"", ""selected_article_had_label"": true, ""label_explained"": false}","{""selected_elements"": [""Headline""], ""trust_article"": ""4"", ""trust_image"": ""4""}","2025-06-24 12:41:37.128222"
102,1,20,"{""selected_article_id"": 37, ""selected_article_title"": ""Stanford researchers develop \u2018game-changing' stroke treatment that doubles effectiveness"", ""selected_article_category"": ""technology"", ""condition"": ""no_color""}","{""selected_article_id"": 44, ""selected_article_title"": ""Amazon to invest $233 million in India to expand operations infrastructure, improve tech"", ""selected_article_had_label"": true, ""label_explained"": true}","{""selected_elements"": [""Topic""], ""trust_article"": ""6"", ""trust_image"": ""7""}","2025-06-24 12:42:06.931374"
103,1,19,"{""selected_article_id"": 58, ""selected_article_title"": ""US toymaker MGA criticised by UK court for 'retaliatory' action against startup"", ""selected_article_category"": ""entertainment"", ""condition"": ""color""}","{""selected_article_id"": 54, ""selected_article_title"": ""Fox News Entertainment Newsletter: Brad Pitt talks mistakes, Billy Idol nearly died from drug overdose"", ""selected_article_had_label"": true, ""label_explained"": false}","{""selected_elements"": [""Topic""], ""trust_article"": ""4"", ""trust_image"": ""4""}","2025-06-24 12:40:13.230639"
104,2,15,NA,"{""selected_article_id"": 61, ""selected_article_title"": ""Netflix Dips Its Toe Into Old-Fashioned TV"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Picture""], ""trust_article"": ""5"", ""trust_image"": ""5""}","2025-06-24 12:38:51.711853"
105,1,21,"{""selected_article_id"": 46, ""selected_article_title"": ""Videos show aftermath of Iranian strikes in Israel"", ""selected_article_category"": ""technology"", ""condition"": ""c2pa""}","{""selected_article_id"": 37, ""selected_article_title"": ""Stanford researchers develop \u2018game-changing' stroke treatment that doubles effectiveness"", ""selected_article_had_label"": true, ""label_explained"": false}","{""selected_elements"": [""Headline"", ""Topic""], ""trust_article"": ""4"", ""trust_image"": ""4""}","2025-06-24 12:40:48.590722"
106,2,16,NA,"{""selected_article_id"": 50, ""selected_article_title"": ""Apple eyes using AI to design its chips, technology executive says"", ""selected_article_had_label"": true, ""label_explained"": false}","{""selected_elements"": [""Topic""], ""trust_article"": ""3"", ""trust_image"": ""2""}","2025-06-24 12:39:25.604102"
107,2,12,NA,"{""selected_article_id"": 3, ""selected_article_title"": ""Massachusetts lawmakers condemn political shootings in Minnesota as \""horrific\"""", ""selected_article_had_label"": true, ""label_explained"": false}","{""selected_elements"": [""Picture""], ""trust_article"": ""5"", ""trust_image"": ""6""}","2025-06-24 12:39:44.540483"
108,1,22,"{""selected_article_id"": 60, ""selected_article_title"": ""Book excerpt: \""Desi Arnaz: The Man Who Invented Television\"""", ""selected_article_category"": ""entertainment"", ""condition"": ""nolabel""}","{""selected_article_id"": 67, ""selected_article_title"": ""Live Nation case at US Supreme Court tests reach of arbitration law"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Headline""], ""trust_article"": ""2"", ""trust_image"": ""3""}","2025-06-24 12:49:12.236769"
109,3,15,NA,"{""selected_article_id"": 65, ""selected_article_title"": ""A Messy Business Divorce Plays Out on the Beaches of Cannes"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Headline""], ""trust_article"": ""4"", ""trust_image"": ""4""}","2025-06-24 12:39:47.126368"
110,3,16,NA,"{""selected_article_id"": 37, ""selected_article_title"": ""Stanford researchers develop \u2018game-changing' stroke treatment that doubles effectiveness"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Headline""], ""trust_article"": ""3"", ""trust_image"": ""3""}","2025-06-24 12:39:50.273580"
111,2,19,NA,"{""selected_article_id"": 61, ""selected_article_title"": ""Netflix Dips Its Toe Into Old-Fashioned TV"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Headline""], ""trust_article"": ""4"", ""trust_image"": ""4""}","2025-06-24 12:41:09.544489"
112,3,12,NA,"{""selected_article_id"": 15, ""selected_article_title"": ""Democratic leaders accuse Trump of legitimizing political violence that led to Minnesota shootings"", ""selected_article_had_label"": true, ""label_explained"": false}","{""selected_elements"": [""Headline""], ""trust_article"": ""6"", ""trust_image"": ""5""}","2025-06-24 12:42:13.184530"
113,3,19,NA,"{""selected_article_id"": 70, ""selected_article_title"": ""Raducanu not satisfied with level at Queen's after quarter-final exit"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Headline""], ""trust_article"": ""4"", ""trust_image"": ""4""}","2025-06-24 12:42:05.554286"
114,1,23,"{""selected_article_id"": 35, ""selected_article_title"": ""Israeli airstrikes hit multiple Iran nuclear sites. Here's what we know about them."", ""selected_article_category"": ""technology"", ""condition"": ""color""}","{""selected_article_id"": 50, ""selected_article_title"": ""Apple eyes using AI to design its chips, technology executive says"", ""selected_article_had_label"": true, ""label_explained"": false}","{""selected_elements"": [""Headline"", ""Topic""], ""trust_article"": ""5"", ""trust_image"": ""5""}","2025-06-24 12:46:01.454123"
115,2,20,NA,"{""selected_article_id"": 52, ""selected_article_title"": ""Visual effects veteran Ed Ulbrich joins AI company Moonvalley"", ""selected_article_had_label"": true, ""label_explained"": false}","{""selected_elements"": [""Image label"", ""Topic""], ""trust_article"": ""6"", ""trust_image"": ""7""}","2025-06-24 12:43:49.221372"
116,2,21,NA,"{""selected_article_id"": 35, ""selected_article_title"": ""Israeli airstrikes hit multiple Iran nuclear sites. Here's what we know about them."", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Headline"", ""Topic""], ""trust_article"": ""4"", ""trust_image"": ""4""}","2025-06-24 12:44:25.923598"
117,2,18,NA,"{""selected_article_id"": 2, ""selected_article_title"": ""As the Army celebrates its 250th birthday, officials say the military's apolitical nature is at risk"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Topic""], ""trust_article"": ""2"", ""trust_image"": ""4""}","2025-06-24 12:44:49.678672"
118,3,20,NA,"{""selected_article_id"": 41, ""selected_article_title"": ""Honda conducts surprise reusable rocket test, aims spaceflight by 2029"", ""selected_article_had_label"": true, ""label_explained"": false}","{""selected_elements"": [""Image label""], ""trust_article"": ""6"", ""trust_image"": ""6""}","2025-06-24 12:45:23.674206"
119,1,24,"{""selected_article_id"": 11, ""selected_article_title"": ""We Encourage Political Violence When We Look the Other Way"", ""selected_article_category"": ""politics"", ""condition"": ""no_color""}","{""selected_article_id"": 7, ""selected_article_title"": ""Taking on Israel's greatest foe has banished Netanyahu's political troubles in an instant"", ""selected_article_had_label"": true, ""label_explained"": false}","{""selected_elements"": [""Headline"", ""Topic""], ""trust_article"": ""4"", ""trust_image"": ""4""}","2025-06-24 12:47:30.312326"
120,2,17,NA,"{""selected_article_id"": 7, ""selected_article_title"": ""Taking on Israel's greatest foe has banished Netanyahu's political troubles in an instant"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Headline"", ""Topic""], ""trust_article"": ""4"", ""trust_image"": ""4""}","2025-06-24 12:46:21.447021"
121,2,23,NA,"{""selected_article_id"": 45, ""selected_article_title"": ""Swedish military joins Telia, Ericsson to boost defense tech"", ""selected_article_had_label"": true, ""label_explained"": false}","{""selected_elements"": [""Picture"", ""Headline"", ""Topic""], ""trust_article"": ""6"", ""trust_image"": ""6""}","2025-06-24 12:47:36.933616"
122,1,27,"{""selected_article_id"": 7, ""selected_article_title"": ""Taking on Israel's greatest foe has banished Netanyahu's political troubles in an instant"", ""selected_article_category"": ""politics"", ""condition"": ""color""}","{""selected_article_id"": 5, ""selected_article_title"": ""What motivated the Minnesota lawmaker shooting suspect is unclear, so are his politics"", ""selected_article_had_label"": true, ""label_explained"": false}","{""selected_elements"": [""Headline""], ""trust_article"": ""7"", ""trust_image"": ""7""}","2025-06-24 12:49:40.318170"
123,3,23,NA,"{""selected_article_id"": 51, ""selected_article_title"": ""Anduril, Rheinmetall partner to build military drones for Europe"", ""selected_article_had_label"": true, ""label_explained"": false}","{""selected_elements"": [""Picture"", ""Headline"", ""Topic""], ""trust_article"": ""6"", ""trust_image"": ""6""}","2025-06-24 12:48:46.360201"
124,3,18,NA,"{""selected_article_id"": 13, ""selected_article_title"": ""Mike Lee, prominent Republicans leap to baseless claims about political violence \u2013 again"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Topic""], ""trust_article"": ""4"", ""trust_image"": ""4""}","2025-06-24 12:48:57.155035"
125,1,26,"{""selected_article_id"": 47, ""selected_article_title"": ""Trump administration backs U.S. candidate to retain UN telecoms post"", ""selected_article_category"": ""technology"", ""condition"": ""nolabel""}","{""selected_article_id"": 37, ""selected_article_title"": ""Stanford researchers develop \u2018game-changing' stroke treatment that doubles effectiveness"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Headline"", ""Topic""], ""trust_article"": ""6"", ""trust_image"": ""6""}","2025-06-24 12:51:54.503169"
126,2,24,NA,"{""selected_article_id"": 4, ""selected_article_title"": ""Colorado officials react to assassination of Minnesota lawmaker and her husband"", ""selected_article_had_label"": true, ""label_explained"": false}","{""selected_elements"": [""Headline"", ""Topic""], ""trust_article"": ""4"", ""trust_image"": ""4""}","2025-06-24 12:49:24.277913"
127,2,27,NA,"{""selected_article_id"": 10, ""selected_article_title"": ""Once known for civility, Minnesota succumbs to spread of political violence"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Headline""], ""trust_article"": ""3"", ""trust_image"": ""7""}","2025-06-24 12:50:28.998305"
128,1,25,"{""selected_article_id"": 8, ""selected_article_title"": ""ASRA NOMANI: The $2.1 billion machine behind 'spontaneous' anti-Trump protests"", ""selected_article_category"": ""politics"", ""condition"": ""c2pa""}","{""selected_article_id"": 1, ""selected_article_title"": ""MSNBC anchor asks panel if political violence is a result of the 'will of the people' being ignored or just part of life"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Image label"", ""Headline""], ""trust_article"": ""4"", ""trust_image"": ""4""}","2025-06-24 12:53:15.550363"
129,3,24,NA,"{""selected_article_id"": 1, ""selected_article_title"": ""MSNBC anchor asks panel if political violence is a result of the 'will of the people' being ignored or just part of life"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Headline"", ""Topic""], ""trust_article"": ""4"", ""trust_image"": ""4""}","2025-06-24 12:50:31.506978"
130,3,27,NA,"{""selected_article_id"": 1, ""selected_article_title"": ""MSNBC anchor asks panel if political violence is a result of the 'will of the people' being ignored or just part of life"", ""selected_article_had_label"": true, ""label_explained"": false}","{""selected_elements"": [""Headline"", ""Topic""], ""trust_article"": ""7"", ""trust_image"": ""7""}","2025-06-24 12:51:15.812239"
131,2,22,NA,"{""selected_article_id"": 57, ""selected_article_title"": ""McDonald's settles Byron Allen's $10 billion lawsuit over ads for Black-owned media"", ""selected_article_had_label"": false, ""label_explained"": false}","{""selected_elements"": [""Topic""], ""trust_article"": ""1"", ""trust_image"": ""2""}","2025-06-24 12:52:29.625339"
132,1,28,"{""selected_article_id"": 70, ""selected_article_title"": ""Raducanu not satisfied with level at Queen's after quarter-final exit"", ""selected_article_category"": ""entertainment"", ""condition"": ""no_color""}","{""selected_article_id"": 68, ""selected_article_title"": ""Aventura Mall voted \""Best Mall in America,\"" USA TODAY poll"", ""selected_article_had_label"": true, ""label_explained"": false}","{""selected_elements"": [""Picture"", ""Headline""], ""trust_article"": ""3"", ""trust_image"": ""4""}","2025-06-24 12:54:40.627964"
